"location","long","lat","continent"
"Afghanistan",66.2385139,33.7680065,"Asia"
"Albania",19.9999619,41.000028,"Europe"
"Algeria",2.9999825,28.0000272,"Africa"
"Andorra",1.5732033,42.5407167,"Europe"
"Angola",17.5691241,-11.8775768,"Africa"
"Anguilla",-63.0750234,18.1954947,"Americas"
"Antigua and Barbuda",-61.9554608,17.2234721,"Americas"
"Argentina",-64.9672817,-34.9964963,"Americas"
"Armenia",44.6736646,40.7696272,"Europe"
"Aruba",-69.9609842,12.4902998,"Americas"
"Australia",134.755,-24.7761086,"Oceania"
"Austria",13.199959,47.2000338,"Europe"
"Azerbaijan",47.7872508,40.3936294,"Europe"
"Bahamas",-78.0000547,24.7736546,"Americas"
"Bahrain",50.5344606,26.1551249,"Asia"
"Bangladesh",90.2932426,24.4768783,"Asia"
"Barbados",-59.5250305,13.1500331,"Americas"
"Belarus",27.6971358,53.4250605,"Europe"
"Belgium",4.6667145,50.6402809,"Europe"
"Belize",-88.7600927,16.8259793,"Americas"
"Benin",2.2584408,9.5293472,"Africa"
"Bermuda",-64.7603583,32.3018217,"Americas"
"Bhutan",90.5119273,27.549511,"Asia"
"Bolivia",-64.9912286,-17.0568696,"Americas"
"Bonaire Sint Eustatius and Saba",-63.1432386516383,17.566,"Americas"
"Bosnia and Herzegovina",17.5961467,44.3053476,"Europe"
"Botswana",24.5928742,-23.1681782,"Africa"
"Brazil",-53.2,-10.3333333,"Americas"
"British Virgin Islands",-64.5661642,18.4024395,"Americas"
"Brunei",114.5653908,4.4137155,"Asia"
"Bulgaria",25.4856617,42.6073975,"Europe"
"Burkina Faso",-1.6880314,12.0753083,"Africa"
"Burundi",29.8870575,-3.3634357,"Africa"
"Cambodia",104.869423,13.5066394,"Asia"
"Cameroon",13.1535811,4.6125522,"Africa"
"Canada",-107.9917071,61.0666922,"Americas"
"Cape Verde",-24.0083947,16.0000552,"Africa"
"Cayman Islands",-80.5667132,19.5417212,"Americas"
"Central African Republic",19.9981227,7.0323598,"Africa"
"Chad",19.0156172,15.6134137,"Africa"
"Chile",-71.3187697,-31.7613365,"Americas"
"China",104.999927,35.000074,"Asia"
"Colombia",-73.783892,2.8894434,"Americas"
"Comoros",44.2832964,-12.2045176,"Africa"
"Congo",15.6419155,-0.7264327,"Africa"
"Costa Rica",-84.0739102,10.2735633,"Americas"
"Cote d'Ivoire",-5.5679458,7.9897371,"Africa"
"Croatia",17.0118954,45.5643442,"Europe"
"Cuba",-80.8328748,23.0131338,"Americas"
"Curacao",-68.9640875031406,12.1845,"Americas"
"Cyprus",33.1451285,34.9823018,"Europe"
"Czech Republic",15.4749544,49.8167003,"Europe"
"Democratic Republic of Congo",23.8222636,-2.9814344,"Africa"
"Denmark",10.3333283,55.670249,"Europe"
"Djibouti",42.8453061,11.8145966,"Africa"
"Dominica",-70.3028026,19.0974031,"Americas"
"Dominican Republic",-70.3028026,19.0974031,"Americas"
"Ecuador",-79.3666965,-1.3397668,"Americas"
"Egypt",29.2675469,26.2540493,"Africa"
"El Salvador",-88.9140683,13.8000382,"Americas"
"Equatorial Guinea",10.5170357,1.613172,"Africa"
"Eritrea",37.9999668,15.9500319,"Africa"
"Estonia",25.3319078,58.7523778,"Europe"
"Ethiopia",38.6521203,10.2116702,"Africa"
"Faeroe Islands",-6.81741243341217,62.19850045,"Europe"
"Falkland Islands",-59.5500387,-51.9666424,"Americas"
"Fiji",179.0122737,-18.1239696,"Oceania"
"Finland",25.9209164,63.2467777,"Europe"
"France",1.8883335,46.603354,"Europe"
"French Polynesia",-146.049093105952,-16.03442485,"Oceania"
"Gabon",11.6899699,-0.8999695,"Africa"
"Gambia",-15.4900464,13.470062,"Africa"
"Georgia",-83.1137366,32.3293809,"Americas"
"Germany",10.4234469,51.0834196,"Europe"
"Ghana",-1.0800271,8.0300284,"Africa"
"Gibraltar",-5.3541295,36.140807,"Europe"
"Greece",21.9877132,38.9953683,"Europe"
"Greenland",-42.8125967,77.6192349,"Europe"
"Grenada",-61.6904045,12.1360374,"Americas"
"Guam",144.757551029721,13.4501257,"Oceania"
"Guatemala",-89.8988087,15.6356088,"Americas"
"Guernsey",-2.52904344483099,49.5795202,"Europe"
"Guinea",-10.7083587,10.7226226,"Africa"
"Guinea-Bissau",-14.9000214,12.100035,"Africa"
"Guyana",-58.6416891,4.8417097,"Americas"
"Haiti",-72.3570972,19.1399952,"Americas"
"Honduras",-86.0755145,15.2572432,"Americas"
"Hungary",19.5060937,47.1817585,"Europe"
"Iceland",-18.1059013,64.9841821,"Europe"
"India",78.6677428,22.3511148,"Asia"
"Indonesia",117.8902853,-2.4833826,"Asia"
"International",14.3932646645293,50.10934595,"Europe"
"Iran",54.5643516,32.6475314,"Asia"
"Iraq",44.1749775,33.0955793,"Asia"
"Ireland",-7.9794599,52.865196,"Europe"
"Isle of Man",-4.51459874569825,54.2358167,"Europe"
"Israel",34.8667654,31.5313113,"Europe"
"Italy",12.674297,42.6384261,"Europe"
"Jamaica",-77.1598454610168,18.1152958,"Americas"
"Japan",139.2394179,36.5748441,"Asia"
"Jersey",-2.12559995964288,49.21230655,"Europe"
"Jordan",36.941628,31.1667049,"Asia"
"Kazakhstan",65.2093197,47.2286086,"Asia"
"Kenya",38.4313975,1.4419683,"Africa"
"Kosovo",20.9021231,42.5869578,"Europe"
"Kuwait",47.4979476,29.2733964,"Asia"
"Kyrgyzstan",74.724091,41.5089324,"Asia"
"Laos",103.378253,20.0171109,"Asia"
"Latvia",24.7537645,56.8406494,"Europe"
"Lebanon",35.843409,33.8750629,"Asia"
"Lesotho",28.3350193,-29.6039267,"Africa"
"Liberia",-9.3658524,5.7499721,"Africa"
"Libya",18.1236723,26.8234472,"Africa"
"Liechtenstein",9.5531527,47.1416307,"Europe"
"Lithuania",23.7499997,55.3500003,"Europe"
"Luxembourg",6.1296751,49.8158683,"Europe"
"Macedonia",21.7168387,41.6171214,"Europe"
"Madagascar",46.4416422,-18.9249604,"Africa"
"Malawi",33.9301963,-13.2687204,"Africa"
"Malaysia",102.2656823,4.5693754,"Asia"
"Maldives",73.3287853,4.7064352,"Asia"
"Mali",-2.2900239,16.3700359,"Africa"
